Year,Gold_Price
,GC=F
2000,273.5
2001,272.50999755859374
2002,308.07000122070315
2003,370.00909146395594
2004,413.01000061035154
2005,451.5818148526278
2006,619.2
2007,711.8400024414062
2008,872.281815962358
2009,974.6888766818577
2010,1236.8272705078125
2011,1577.5454767400568
2012,1678.2444525824653
2013,1420.439990234375
2014,1244.9000022194602
2015,1151.7333441840278
2016,1250.3272816051137
2017,1272.2499877929688
2018,1263.1300170898437
2019,1384.6
2020,1794.95
2021,1789.254560990767
2022,1790.6090975674715
2023,1953.02998046875
2024,2356.9099609375
